BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065001,400065001,RTGS-HO,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25260173,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065002,400065002,"ABHYUDAYA NAGAR","ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",24702643,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065003,400065003,"BAIL BAZAR","KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",25032202,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065004,400065004,BHANDUP,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",25963157,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065005,400065005,DARUKHANA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",23778164,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065006,400065006,FORT,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",22614468,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065007,400065007,GHATKOPAR,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",25116673,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065008,400065008,KANJUR,"BHANDARI CO-OP. HSG. SOCIETY, KANJUR VILLAGE, KANJUR (EAST), MUMBAI-400078",25783519,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065009,400065009,"NEHRU NAGAR","ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",25222386,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065010,400065010,PAREL,"SHRAMA SAFALYA, 63 G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI-400012",24137707,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065011,400065011,SEWRI,"NAVNIDHI INDUSTRIAL ESTATE, ACHARYA DONDHE MARG, SEWRI, MUMBAI-400015",24136008,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065012,400065012,WADALA,"B.P.T.MARKET BLDG., NADKARNI PARK, WADALA (EAST), MUMBAI-400037",24184512,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065013,400065013,WORLI,"LANDMARK,NEXT TO MAHINDRA TOWERS, PLOT NO.1, J M BHOSLE MARG, WORLI, MUMBAI-400018",24921104,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065014,400065014,MUMBRA,"RIZVI APARTMENTS, OPP. RAILWAY STATION, MUMBRA-400612",25462172,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065015,400065015,TURBHE,"A.P.M.C.MARKET, ADMINISTRATIVE BLDG, TURBHE, NAVI MUMBAI-400705",27888044,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065016,400065016,VASHI,"ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400705",27892458,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065017,400065017,"MOBILE BANK","ABHYUDAYA BANK BLDG., SECTOR 17, VASHI, NAVI MUMBAI-400703",27892444,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
"ABHYUDAYA COOPERATIVE BANK LIMITED",ABHY0065018,400065018,"NEW PANVEL","ABHYUDAYA BANK BLDG., SECTOR 17, NEW PANVEL-410206",27453585,MUMBAI,"GREATER MUMBAI",MAHARASHTRA
